local authority name,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other
City of London,7177,4909,241,,925,55,21,30,55,276,271,158,23,31,117,51,14,,
Barking and Dagenham,10206,4713,186,,649,62,84,89,92,174,215,902,1368,215,941,439,77,,
Barking and Dagenham,9300,8432,134,,127,16,18,74,18,14,24,35,16,3,250,123,16,,
Barking and Dagenham,11450,8902,175,,473,41,34,121,40,89,188,317,217,75,438,278,62,,
Barking and Dagenham,9299,7726,172,,205,32,17,77,32,26,77,255,104,51,227,236,62,,
Barking and Dagenham,10096,8925,177,,186,36,23,48,13,25,97,125,45,19,256,112,9,,
Barking and Dagenham,10089,8177,153,,221,22,31,96,36,47,82,179,210,48,485,242,60,,
Barking and Dagenham,9371,5646,146,,604,81,92,116,47,75,177,349,351,133,1212,275,67,,
Barking and Dagenham,10333,9057,140,,148,31,23,106,15,6,52,58,76,28,424,147,22,,
Barking and Dagenham,9649,8592,149,,143,12,35,91,28,18,38,45,24,13,296,138,27,,
Barking and Dagenham,8890,7091,155,,209,30,20,59,39,44,96,412,235,80,201,188,31,,
Barking and Dagenham,9316,8356,114,,160,20,22,89,21,4,64,33,30,12,255,103,33,,
Barking and Dagenham,9039,8165,152,,150,19,17,65,18,10,55,51,39,24,166,83,25,,
Barking and Dagenham,10260,8481,307,,190,18,28,84,33,49,52,242,66,22,450,215,23,,
Barking and Dagenham,8547,6400,86,,304,17,59,88,29,21,76,175,99,56,823,244,70,,
Barking and Dagenham,8775,7786,128,,140,31,21,65,14,21,35,96,34,22,198,145,39,,
Barking and Dagenham,9720,8405,149,,186,22,30,88,35,10,54,80,68,9,384,143,57,,
Barking and Dagenham,9604,7712,230,,253,44,18,64,40,40,93,327,73,67,278,323,42,,
Barnet,14668,9274,460,,1848,117,60,81,112,102,394,1125,151,373,324,206,41,,
Barnet,15243,7944,775,,869,179,145,141,189,52,945,1265,227,431,1522,439,120,,
Barnet,17261,8605,785,,3323,217,93,101,235,67,1086,963,247,348,879,226,86,,
Barnet,13860,5452,588,,1116,116,169,137,175,48,1020,1619,442,521,1780,487,190,,
Barnet,14504,8493,603,,1586,200,95,121,153,77,610,1251,108,256,620,262,69,,
Barnet,15332,11519,449,,1305,127,57,85,100,36,267,645,78,237,301,111,15,,
Barnet,14534,8769,647,,1705,145,88,103,159,104,537,1016,141,183,643,225,69,,
Barnet,14816,9482,337,,1009,93,67,67,104,79,462,1801,197,256,685,147,30,,
Barnet,13810,8145,338,,1760,165,52,42,128,44,719,1291,164,307,523,105,27,,
Barnet,14727,9617,222,,2608,159,29,32,139,28,623,500,129,203,341,85,12,,
Barnet,16249,8755,388,,2757,171,84,65,180,110,927,1144,262,331,872,149,54,,
Barnet,15663,9616,522,,1046,134,83,77,137,86,703,1564,216,370,804,238,67,,
Barnet,15377,8597,411,,2160,168,82,61,153,77,787,1405,198,338,727,163,50,,
Barnet,13847,11079,377,,926,119,42,65,94,33,255,456,45,113,155,79,9,,
Barnet,15379,9911,483,,1389,203,67,85,119,57,620,1046,228,293,669,174,35,,
Barnet,14740,10374,531,,1371,135,52,54,106,32,334,958,121,246,299,108,19,,
Barnet,14449,9011,372,,1455,143,37,31,153,39,1223,1228,145,233,277,86,16,,
Barnet,15721,11746,552,,856,128,74,80,126,81,396,638,80,242,516,165,41,,
Barnet,14264,7252,486,,1708,155,62,68,187,90,1008,2259,172,244,391,144,38,,
Barnet,14587,5996,567,,1474,193,54,79,123,110,1066,2788,447,434,909,300,47,,
Barnet,15533,8664,652,,1751,151,98,95,158,96,552,2168,167,293,414,214,60,,
Bexley,10277,9460,148,,147,21,9,33,17,4,74,198,4,16,109,34,3,,
Bexley,10839,8954,144,,235,58,17,57,54,8,94,677,19,60,307,126,29,,
Bexley,10419,9625,151,,182,23,14,26,41,7,48,142,13,30,51,56,10,,
Bexley,10418,9583,158,,178,38,8,37,22,18,68,158,7,56,50,30,7,,
Bexley,10387,9400,154,,128,35,11,28,20,6,105,297,18,48,69,61,7,,
