local authority name,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other,White Roma
City of London,8584,3652,186,0,2065,173,50,56,188,283,544,322,32,259,150,54,26,113,369,62
Barking and Dagenham,3963,447,17,3,691,28,29,30,36,346,87,968,358,131,453,68,70,42,125,34
Barking and Dagenham,9889,3845,71,15,1555,55,60,117,96,859,67,247,282,296,1529,214,237,57,240,47
Barking and Dagenham,10055,1943,23,3,1163,60,163,175,176,969,91,374,593,201,2815,402,547,92,247,18
Barking and Dagenham,8360,2488,73,17,1202,48,122,88,85,699,41,301,358,156,1814,251,297,39,256,25
Barking and Dagenham,9775,2929,63,6,1112,78,76,104,120,937,59,659,1000,292,1260,304,172,228,335,41
Barking and Dagenham,13823,4476,154,14,1451,90,164,218,172,1322,57,1019,1231,401,1570,567,323,74,446,74
Barking and Dagenham,8741,4400,75,23,864,63,74,141,59,417,40,262,322,254,975,265,192,45,230,40
Barking and Dagenham,15715,5076,47,17,2390,92,176,180,189,1729,85,569,1021,371,2446,342,421,103,419,42
Barking and Dagenham,10705,1807,54,13,1629,98,178,141,123,1084,77,543,1022,333,2402,247,403,106,401,44
Barking and Dagenham,13686,5659,71,19,1957,63,141,208,134,968,85,314,416,311,2308,335,340,45,282,30
Barking and Dagenham,9114,3490,43,3,968,71,106,104,93,534,61,262,362,211,1899,250,259,88,288,22
Barking and Dagenham,13304,2307,37,9,1077,141,52,83,115,4555,102,1018,1800,327,773,315,140,76,354,23
Barking and Dagenham,15636,5086,64,3,2523,111,188,238,197,1150,93,639,907,377,2676,292,511,102,425,54
Barking and Dagenham,13189,1648,47,10,1984,108,156,179,176,1592,96,957,2038,439,2384,348,293,87,537,110
Barking and Dagenham,15165,6178,78,7,2091,110,144,214,143,1171,73,473,721,321,2272,377,322,45,384,41
Barking and Dagenham,5654,1314,30,0,624,48,106,82,78,738,46,147,395,174,1253,174,206,46,156,37
Barking and Dagenham,15241,6075,66,4,1849,91,171,275,136,1062,58,791,1243,268,1884,331,352,63,465,57
Barking and Dagenham,12650,4725,67,15,1513,80,146,214,127,979,88,272,380,264,2625,301,439,69,296,50
Barking and Dagenham,14201,3665,111,8,1871,114,124,193,163,1271,72,1667,1340,387,1755,457,343,86,509,65
