local authority name	2001	2011	2021
City of London	4909	4243	3652
Barking and Dagenham	4713	496	447
Barking and Dagenham	8432	5156	3845
Barking and Dagenham	8902	1961	1943
Barking and Dagenham	7726	3576	2488
Barking and Dagenham	8925	4215	2929
Barking and Dagenham	8177	6220	4476
Barking and Dagenham	5646	5908	4400
Barking and Dagenham	9057	7095	5076
Barking and Dagenham	8592	2968	1807
Barking and Dagenham	7091	7201	5659
Barking and Dagenham	8356	4649	3490
Barking and Dagenham	8165	4016	2307
Barking and Dagenham	8481	6440	5086
Barking and Dagenham	6400	1802	1648
Barking and Dagenham	7786	8373	6178
Barking and Dagenham	8405	1586	1314
Barking and Dagenham	7712	8273	6075
Barnet	9274	6729	4725
Barnet	7944	5287	3665
Barnet	8605	10057	8301
Barnet	5452	7449	6184
Barnet	8493	6256	4982
Barnet	11519	7073	6199
Barnet	8769	2507	2430
Barnet	9482	1787	2850
Barnet	8145	2512	2199
Barnet	9617	10257	9018
Barnet	8755	8169	6989
Barnet	9616	8521	7229
Barnet	8597	5892	5065
Barnet	11079	8438	7297
Barnet	9911	8317	7030
Barnet	10374	7767	6013
Barnet	9011	7124	6697
Barnet	11746	8489	7822
Barnet	7252	7585	6785
Barnet	5996	8453	7215
Barnet	8664	6192	5728
Bexley	9460	7258	5911
Bexley	8954	7539	6140
Bexley	9625	3742	3330
Bexley	9583	5148	4548
Bexley	9400	5584	4830
Bexley	9302	9437	8329
Bexley	9561	9916	8306
Bexley	9553	12286	11187
Bexley	9332	14086	12873
Bexley	9181	13567	12573
Bexley	9224	11825	11234
Bexley	8040	12435	10690
Bexley	9516	12188	10072
Bexley	8433	6847	5902
Bexley	8733	12321	10444
Bexley	9222	8476	7991
Bexley	9370	8479	7395
Bexley	9258	8740	8482
Bexley	9520	12121	11786
Bexley	9354	7694	6103
Bexley	7326	6298	4807
Brent	2259	12534	10697
Brent	4319	829	839
Brent	4924	1386	1234
Brent	3038	4340	3982
Brent	3816	3974	3198
Brent	3873	2873	2686
Brent	2844	4333	4153
Brent	3614	3425	2395
Brent	4008	4814	4017
Brent	5000	1506	1690
Brent	5242	1779	1378
Brent	3607	1485	1397
Brent	3781	7120	6523
Brent	5778	2009	1929
Brent	3192	2318	2264
Brent	3290	2000	2022
Brent	3018	1247	1116
Brent	2169	626	720
Brent	3724	2848	2651
Brent	1475	994	812
Brent	3922	1341	1276
Bromley	11827	195	1452
Bromley	9562	4445	3895
Bromley	12656	10309	9418
Bromley	11991	13230	11999
Bromley	12908	9917	9770
Bromley	12783	13183	13030
Bromley	12643	9486	8584
Bromley	11722	9665	8268
Bromley	13458	11677	11355
Bromley	14815	11490	10521
Bromley	7397	5120	5308
Bromley	4432	4809	4688
Bromley	13011	14727	13358
Bromley	13718	13300	12578
Bromley	12740	11619	10506
Bromley	8962	7934	7049
Bromley	13708	9324	8189
Bromley	11843	9825	9536
Bromley	12415	14014	12290
Bromley	12132	8693	7228
Bromley	7978	12168	10701
